Ticker,Units,AverageOpen,Avatar
NET,0.73,68.1,https://etoro-cdn.etorostatic.com/market-avatars/5712/150x150.png
CRWD,0.4,187.4,https://etoro-cdn.etorostatic.com/market-avatars/5506/150x150.png
MELI,0.04,1388.65,https://etoro-cdn.etorostatic.com/market-avatars/meli/150x150.png
CB,0.31,159.8,https://etoro-cdn.etorostatic.com/market-avatars/cb/150x150.png
DKS,0.5,100.37,https://etoro-cdn.etorostatic.com/market-avatars/dks/150x150.png
NIO,1.16,43,https://etoro-cdn.etorostatic.com/market-avatars/4489/150x150.png
GLEN.L,11.47,316.95,https://etoro-cdn.etorostatic.com/market-avatars/glen.l/150x150.png
FXPO.L,9.67,447.4,https://etoro-cdn.etorostatic.com/market-avatars/2694/150x150.png
SE,0.17,287.56,https://etoro-cdn.etorostatic.com/market-avatars/5960/150x150.png
VRTX,0.25,197.61,https://etoro-cdn.etorostatic.com/market-avatars/vrtx/150x150.png
ABI.BR,1.19,57.25,https://etoro-cdn.etorostatic.com/market-avatars/5737/150x150.png
NVDA,0.26,191.6,https://etoro-cdn.etorostatic.com/market-avatars/nvda/150x150.png
PLTR,2.28,21.93,https://etoro-cdn.etorostatic.com/market-avatars/7991/150x150.png
WPP.L,3.84,946,https://etoro-cdn.etorostatic.com/market-avatars/wpp.l/150x150.png
AAPL,0.34,148.12,https://etoro-cdn.etorostatic.com/market-avatars/aapl/150x150.png
CCK,0.82,97.87,https://etoro-cdn.etorostatic.com/market-avatars/cck/150x150.png
F,3.6,13.9,https://etoro-cdn.etorostatic.com/market-avatars/f/150x150.png
MSFT,0.17,287.11,https://etoro-cdn.etorostatic.com/market-avatars/msft/150x150.png
NDA.DE,0.49,85.9,https://etoro-cdn.etorostatic.com/market-avatars/2585/150x150.png
K,0.79,63.43,https://etoro-cdn.etorostatic.com/market-avatars/k/150x150.png
ROG.ZU,0.14,343.7,https://etoro-cdn.etorostatic.com/market-avatars/ROG/150x150.png
BTI,1.59,38.37,https://etoro-cdn.etorostatic.com/market-avatars/4243/150x150.png
ITUB,8.96,5.69,https://etoro-cdn.etorostatic.com/market-avatars/4246/150x150.png
SLB,1.7,29.33,https://etoro-cdn.etorostatic.com/market-avatars/4253/150x150.png
MRVL,0.85,59.16,https://etoro-cdn.etorostatic.com/market-avatars/4358/150x150.png
PBR,4.63,10.8,https://etoro-cdn.etorostatic.com/market-avatars/pbr/150x150.png
SAN.PA,0.48,87.84,https://etoro-cdn.etorostatic.com/market-avatars/san.pa/150x150.png
COF,0.31,162.63,https://etoro-cdn.etorostatic.com/market-avatars/cof/150x150.png
GSK.L,2.58,1410,https://etoro-cdn.etorostatic.com/market-avatars/gsk.l/150x150.png
EPD,4.09,24.43,https://etoro-cdn.etorostatic.com/market-avatars/epd/150x150.png
CRSR,1.71,31.02,https://etoro-cdn.etorostatic.com/market-avatars/5201/150x150.png
COP,0.84,59.4,https://etoro-cdn.etorostatic.com/market-avatars/cop/150x150.png
GM,0.85,58.52,https://etoro-cdn.etorostatic.com/market-avatars/gm/150x150.png
JD.US,0.67,74.78,https://etoro-cdn.etorostatic.com/market-avatars/jd.chin/150x150.png
TSM,0.4,124.97,https://etoro-cdn.etorostatic.com/market-avatars/4481/150x150.png
BABA,0.23,213.93,https://etoro-cdn.etorostatic.com/market-avatars/baba/150x150.png
BIDU,0.27,183.28,https://etoro-cdn.etorostatic.com/market-avatars/bidu/150x150.png
